id,name,Region, Population (2018 est) ,Penetration (% Population), Facebook Users (2018) ,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
SVN,Slovenia,Europe,2081260,79.90%,910000,0.7714,0.8146,0.7986,0.8923,0.6232
SLB,Solomon Islands,Oceania,606215,11.00%,41000,0.2816,0.2135,0.2431,0.4732,0.1285
SOM,Somalia,Africa,15181925,7.90%,1100000,0.0566,0.1348,0.1111,0,0.0586
ZAF,South Africa,Africa,57398421,53.70%,16000000,0.6618,0.8483,0.8333,0.7291,0.4231
SDS,South Sudan,Africa,12919053,17.30%,180000,0.1214,0.0899,0.1111,0.2269,0.0262
ESP,Spain,Europe,46397452,92.60%,23000000,0.8415,0.9831,0.9375,0.8885,0.6986
LKA,Sri Lanka,Asia,20950041,32.00%,5500000,0.5751,0.6292,0.6667,0.7451,0.3136
SDN,Sudan,Africa,41511526,28.50%,2600000,0.2394,0.1404,0.1528,0.3873,0.178
SUR,Suriname,Americas,568301,59.80%,310000,0.4773,0.2416,0.2917,0.6808,0.4595
SWZ,Swaziland,Africa,1391385,32.10%,170000,null,null,null,null,null
SWE,Sweden,Europe,9982709,96.70%,6300000,0.8882,0.9382,0.9444,0.9366,0.7835
CHE,Switzerland,Europe,8544034,91.00%,3700000,0.852,0.8427,0.8472,0.866,0.8428
SYR,Syria,Middle East,18284407,33.00%,4900000,0.3459,0.3652,0.2986,0.486,0.2532
TWN,Taiwan,Asia,23694089,87.90%,18000000,null,null,null,null,null
TJK,Tajikistan,Asia,9107211,33.10%,170000,0.422,0.3876,0.3403,0.7002,0.2254
TZA,Tanzania,Africa,59091392,38.90%,6100000,0.3929,0.618,0.5625,0.4759,0.1403
THA,Thailand,Asia,69183173,82.40%,46000000,0.6543,0.6517,0.6389,0.7903,0.5338
TLS,Timor-Leste,Asia,1324094,31.00%,390000,0.3816,0.2697,0.3125,0.5387,0.2937
TGO,Togo,Africa,7990926,11.30%,560000,0.3989,0.5449,0.5556,0.5058,0.1353
233,Tokelau,Oceania,1300,61.50%,150,null,null,null,null,null
188,Tonga,Oceania,107797,46.20%,43000,0.5237,0.4663,0.4722,0.8039,0.2951
TTO,Trinidad and Tobago,Americas,1372598,73.10%,700000,0.644,0.5787,0.6389,0.7195,0.5735
TUN,Tunisia,Africa,11659174,67.70%,6400000,0.6254,0.7978,0.8056,0.664,0.4066
TUR,Turkey,Europe,81916871,68.40%,44000000,0.7112,0.8596,0.8889,0.8148,0.4298
TKM,Turkmenistan,Asia,5851466,17.90%,20000,0.3652,0.1124,0.1319,0.6626,0.3011
216,Turks and Caicos Islands,Americas,35747,78.30%,25000,null,null,null,null,null
224,Tuvalu,Oceania,9975,50.10%,2300,0.3779,0.2191,0.2222,0.6422,0.2693
UGA,Uganda,Africa,44270563,42.90%,2600000,0.4055,0.6236,0.5694,0.4906,0.1566
UKR,Ukraine,Europe,44009214,93.00%,9500000,0.6165,0.6854,0.5694,0.8436,0.4364
ARE,United Arab Emirates,Middle East,9541615,98.40%,8700000,0.8295,0.9438,0.9444,0.6877,0.8564
GBR,United Kingdom,Europe,66573504,94.70%,44000000,0.8999,0.9831,0.9792,0.92,0.8004
USA,United States,Americas,326766748,95.60%,240000000,0.8769,0.9831,0.9861,0.8883,0.7564
URY,Uruguay,Americas,3469551,88.20%,2400000,0.7858,0.9157,0.8889,0.7719,0.6967
UZB,Uzbekistan,Asia,32364996,47.70%,800000,0.6207,0.7584,0.7917,0.7396,0.3307
VUT,Vanuatu,Oceania,276331,30.00%,34000,0.399,0.4382,0.4375,0.5675,0.192
VEN,Venezuela,Americas,32381221,53.10%,13000000,0.5287,0.4045,0.4097,0.7615,0.4148
VNM,Vietnam,Asia,96491146,66.30%,50000000,0.5931,0.691,0.7361,0.6543,0.389
189,Virgin Islands,Americas,104914,60.60%,22000,null,null,null,null,null
220,Wallis and Futuna,Oceania,13090,29.80%,3900,null,null,null,null,null
ESH,Western Sahara,Africa,561257,5.00%,24000,null,null,null,null,null
YEM,Yemen,Middle East,28915284,24.30%,2352942,0.2154,0.118,0.0972,0.4037,0.1454
ZMB,Zambia,Africa,17609178,41.20%,1600000,0.4111,0.3989,0.4792,0.5689,0.1853
ZWE,Zimbabwe,Africa,16913261,40.20%,880000,0.3692,0.2753,0.3264,0.5668,0.2144
